qid,P5,P193,Len
,Q28,"""""""n6""""""","""first class adjective"""
,Q28,"""""""n6i""""""","""first class adjectives in –ius"""
,Q28,"""""""n6p""""""","""first class pronominal adjective with dat sing in -i"""
,Q28,"""""""n6p3""""""","""first class pronominal adjectives with regular inflection"""
,Q28,"""""""n6s""""""","""first class superlative degree adjective"""
,Q28,"""""""n7""""""","""second class adjective (nom sing in: -is,-e)"""
,Q28,"""""""n71""""""","""second class adjective (e.g. nom sing in: -s; -x; -r; -l)"""
,Q28,"""""""n72""""""","""second class adjective (nom sing in: -er, -is, -e)"""
,Q28,"""""""n73""""""","""second class adjective (nom sing in: -er, -er, -e)"""
,Q28,"""""""n7c""""""","""second class comparative degree adjective"""
,Q28,"""""""n7p""""""","""second class pronominal adjective"""
,Q28,"""""""n5""""""","""fifth declension noun"""
,Q28,"""""""n1""""""","""first declension noun"""
,Q28,"""""""n1e""""""","""first declension irregular noun"""
,Q28,"""""""n4""""""","""fourth declension (m/f) noun"""
,Q28,"""""""n4n""""""","""fourth declension neuter noun"""
,Q28,"""""""n2""""""","""second declension (m/f) noun"""
,Q28,"""""""n2e""""""","""second declension irregular noun"""
,Q28,"""""""n2i""""""","""second declension masculine noun in -ius"""
,Q28,"""""""n2n""""""","""second declension neuter noun"""
,Q28,"""""""n2ne""""""","""second declension neuter irregular noun"""
,Q28,"""""""n3""""""","""third declension noun with gen pl in –um/-ium"""
,Q28,"""""""n31""""""","""third declension noun gen pl in –um"""
,Q28,"""""""n3e""""""","""third declension irregular noun abl sing in -e/-i"""
,Q28,"""""""n3n""""""","""third declension neuter noun with gen pl in –um/-ium"""
,Q28,"""""""n3ne""""""","""third declension neuter irregular noun"""
,Q28,"""""""n""""""","""uninflected noun/adjective"""
,Q28,"""""""v1""""""","""first conjugation verb (isolated form)"""
,Q28,"""""""v1d""""""","""first conjugation deponent verb"""
,Q28,"""""""v1e""""""","""first conjugation impersonal verb"""
,Q28,"""""""v1r""""""","""first conjugation verb"""
,Q28,"""""""v4""""""","""fourth conjugation verb (isolated form)"""
,Q28,"""""""v4d""""""","""fourth conjugation deponent verb"""
,Q28,"""""""v4e""""""","""fourth conjugation impersonal verb"""
,Q28,"""""""v4r""""""","""fourth conjugation verb"""
,Q28,"""""""v6""""""","""irregular conjugation verb (isolated form)"""
,Q28,"""""""v6d""""""","""irregular conjugation deponent verb"""
,Q28,"""""""v6e""""""","""irregular conjugation impersonal verb"""
,Q28,"""""""v6r""""""","""irregular conjugation verb"""
,Q28,"""""""v7e""""""","""perfectum impersonal verb"""
,Q28,"""""""v7r""""""","""perfectum verb"""
,Q28,"""""""v2""""""","""second conjugation verb (isolated form)"""
,Q28,"""""""v2d""""""","""second conjugation deponent verb"""
,Q28,"""""""v2e""""""","""second conjugation impersonal verb"""
,Q28,"""""""v2r""""""","""second conjugation verb"""
,Q28,"""""""v3""""""","""third conjugation verb (isolated form)"""
,Q28,"""""""v3d""""""","""third conjugation deponent verb"""
,Q28,"""""""v3e""""""","""third conjugation impersonal verb"""
,Q28,"""""""v3r""""""","""third conjugation verb"""
,Q28,"""""""v""""""","""uninflected verb"""
,Q28,"""""""v5""""""","""e/i conjugation verb (isolated form)"""
,Q28,"""""""v5d""""""","""e/i conjugation deponent verb"""
,Q28,"""""""v5r""""""","""e/i conjugation verb"""
