lila_uri,qid
http://lila-erc.eu/ontologies/lila/adjective,Q55
http://lila-erc.eu/ontologies/lila/noun,Q51
http://lila-erc.eu/ontologies/lila/verb,Q52
http://lila-erc.eu/ontologies/lila/adposition,Q67
http://lila-erc.eu/ontologies/lila/adverb,Q59
http://lila-erc.eu/ontologies/lila/proper_noun,Q66
http://lila-erc.eu/ontologies/lila/subordinating_conjunction,Q73
http://lila-erc.eu/ontologies/lila/determiner,Q69
http://lila-erc.eu/ontologies/lila/pronoun,Q64
http://lila-erc.eu/ontologies/lila/interjection,Q56
http://lila-erc.eu/ontologies/lila/numeral,Q60
http://lila-erc.eu/ontologies/lila/coordinating_conjunction,Q72
http://lila-erc.eu/ontologies/lila/particle,Q68
http://lila-erc.eu/ontologies/lila/other,Q70
http://lila-erc.eu/ontologies/lila/neuter,Q25
http://lila-erc.eu/ontologies/lila/feminine,Q27
http://lila-erc.eu/ontologies/lila/masculine,Q26
http://lila-erc.eu/ontologies/lila/n6,Q2180
http://lila-erc.eu/ontologies/lila/n6i,Q2181
http://lila-erc.eu/ontologies/lila/n6p,Q2182
http://lila-erc.eu/ontologies/lila/n6p3,Q2183
http://lila-erc.eu/ontologies/lila/n6s,Q2184
http://lila-erc.eu/ontologies/lila/n7,Q2185
http://lila-erc.eu/ontologies/lila/n71,Q2186
http://lila-erc.eu/ontologies/lila/n72,Q2187
http://lila-erc.eu/ontologies/lila/n73,Q2188
http://lila-erc.eu/ontologies/lila/n7c,Q2189
http://lila-erc.eu/ontologies/lila/n7p,Q2190
http://lila-erc.eu/ontologies/lila/n5,Q2191
http://lila-erc.eu/ontologies/lila/n1,Q2192
http://lila-erc.eu/ontologies/lila/n1e,Q2193
http://lila-erc.eu/ontologies/lila/n4,Q2194
http://lila-erc.eu/ontologies/lila/n4n,Q2195
http://lila-erc.eu/ontologies/lila/n2,Q2196
http://lila-erc.eu/ontologies/lila/n2e,Q2197
http://lila-erc.eu/ontologies/lila/n2i,Q2198
http://lila-erc.eu/ontologies/lila/n2n,Q2199
http://lila-erc.eu/ontologies/lila/n2ne,Q2200
http://lila-erc.eu/ontologies/lila/n3,Q2201
http://lila-erc.eu/ontologies/lila/n31,Q2202
http://lila-erc.eu/ontologies/lila/n3e,Q2203
http://lila-erc.eu/ontologies/lila/n3n,Q2204
http://lila-erc.eu/ontologies/lila/n3ne,Q2205
http://lila-erc.eu/ontologies/lila/n,Q2206
http://lila-erc.eu/ontologies/lila/v1,Q2207
http://lila-erc.eu/ontologies/lila/v1d,Q2208
http://lila-erc.eu/ontologies/lila/v1e,Q2209
http://lila-erc.eu/ontologies/lila/v1r,Q2210
http://lila-erc.eu/ontologies/lila/v4,Q2211
http://lila-erc.eu/ontologies/lila/v4d,Q2212
http://lila-erc.eu/ontologies/lila/v4e,Q2213
http://lila-erc.eu/ontologies/lila/v4r,Q2214
http://lila-erc.eu/ontologies/lila/v6,Q2215
http://lila-erc.eu/ontologies/lila/v6d,Q2216
http://lila-erc.eu/ontologies/lila/v6e,Q2217
http://lila-erc.eu/ontologies/lila/v6r,Q2218
http://lila-erc.eu/ontologies/lila/v7e,Q2219
http://lila-erc.eu/ontologies/lila/v7r,Q2220
http://lila-erc.eu/ontologies/lila/v2,Q2221
http://lila-erc.eu/ontologies/lila/v2d,Q2222
http://lila-erc.eu/ontologies/lila/v2e,Q2223
http://lila-erc.eu/ontologies/lila/v2r,Q2224
http://lila-erc.eu/ontologies/lila/v3,Q2225
http://lila-erc.eu/ontologies/lila/v3d,Q2226
http://lila-erc.eu/ontologies/lila/v3e,Q2227
http://lila-erc.eu/ontologies/lila/v3r,Q2228
http://lila-erc.eu/ontologies/lila/v,Q2229
http://lila-erc.eu/ontologies/lila/v5,Q2230
http://lila-erc.eu/ontologies/lila/v5d,Q2231
http://lila-erc.eu/ontologies/lila/v5r,Q2232
http://lila-erc.eu/ontologies/lila/i,Q2233
http://lila-erc.eu/ontologies/lila/p,Q2234
